date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:12	74/74	---M--	200	added ('OK')	text/plain	date:Wed,%2008%20May%202024%2013:30:50%20GMT	https://studiowaterbear.com/robots.txt		(from )
21:42:12	89574/89574	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2013:30:37%20GMT	https://studiowaterbear.com/	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/index.html	(from )
21:42:14	891/891	---M--	200	added ('OK')	image/png	date:Wed,%2008%20May%202024%2013:30:43%20GMT	https://studiowaterbear.com/favicons/f417d7b0-aacd-49e1-a8bb-ec61d0e878de/favicon-16x16.png	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/favicons/f417d7b0-aacd-49e1-a8bb-ec61d0e878de/favicon-16x16.png	(from https://studiowaterbear.com/)
21:42:15	2456/2456	---M--	200	added ('OK')	image/png	date:Wed,%2008%20May%202024%2013:30:47%20GMT	https://studiowaterbear.com/favicons/f417d7b0-aacd-49e1-a8bb-ec61d0e878de/favicon-32x32.png	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/favicons/f417d7b0-aacd-49e1-a8bb-ec61d0e878de/favicon-32x32.png	(from https://studiowaterbear.com/)
21:42:19	415593/415593	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2013:30:28%20GMT	https://studiowaterbear.com/bundle/publish/0.43.5/publish.css	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/bundle/publish/0.43.5/publish.css	(from https://studiowaterbear.com/)
21:42:19	20152/20152	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2013:30:35%20GMT	https://studiowaterbear.com/styles/f417d7b0-aacd-49e1-a8bb-ec61d0e878de.css?v=1715171360000	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/styles/f417d7b0-aacd-49e1-a8bb-ec61d0e878de6fa4.css	(from https://studiowaterbear.com/)
21:42:21	18952/18952	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:30:53%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-normal-200.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-normal-200.woff2	(from https://studiowaterbear.com/)
21:42:22	18952/18952	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:30:55%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-italic-200.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-italic-200.woff2	(from https://studiowaterbear.com/)
21:42:24	20436/20436	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:30:58%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-normal-300.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-normal-300.woff2	(from https://studiowaterbear.com/)
21:42:25	20380/20380	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:00%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-italic-300.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-italic-300.woff2	(from https://studiowaterbear.com/)
21:42:27	19980/19980	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:01%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-normal-400.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-normal-400.woff2	(from https://studiowaterbear.com/)
21:42:29	19592/19592	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:03%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-italic-400.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-italic-400.woff2	(from https://studiowaterbear.com/)
21:42:31	20864/20864	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:05%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-normal-600.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-normal-600.woff2	(from https://studiowaterbear.com/)
21:42:33	20520/20520	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:07%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-italic-600.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-italic-600.woff2	(from https://studiowaterbear.com/)
21:42:34	20884/20884	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:08%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-normal-700.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-normal-700.woff2	(from https://studiowaterbear.com/)
21:42:36	20812/20812	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:10%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-italic-700.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-italic-700.woff2	(from https://studiowaterbear.com/)
21:42:38	19704/19704	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:31:14%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-normal-900.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-normal-900.woff2	(from https://studiowaterbear.com/)
21:42:41	19448/19448	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2013:30:41%20GMT	https://studiowaterbear.com/__fonts/source-serif-pro-italic-900.woff2	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__fonts/source-serif-pro-italic-900.woff2	(from https://studiowaterbear.com/)
21:42:43	89628/89628	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2013:30:43%20GMT	https://studiowaterbear.com/contact/	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/contact/index.html	(from https://studiowaterbear.com/)
21:42:44	145375/145375	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2013:30:39%20GMT	https://studiowaterbear.com/soul-devourer/	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/soul-devourer/index.html	(from https://studiowaterbear.com/)
21:42:44	91605/91605	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2013:30:41%20GMT	https://studiowaterbear.com/about-us/	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/about-us/index.html	(from https://studiowaterbear.com/)
21:42:44	189914/189914	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20May%202024%2013:30:53%20GMT	https://studiowaterbear.com/__static/63b995a0b5709ded65f0411f7905641a/cover-art-1(3).jpg	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__static/63b995a0b5709ded65f0411f7905641a/cover-art-1(3).jpg	(from https://studiowaterbear.com/)
21:42:45	10226/10226	---M--	200	added ('OK')	image/png	date:Wed,%2008%20May%202024%2013:31:00%20GMT	https://studiowaterbear.com/__static/0e82323d4951059d8bd1a510a49c6f23/library_logo_transparent(2).png	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__static/0e82323d4951059d8bd1a510a49c6f23/library_logo_transparent(2).png	(from https://studiowaterbear.com/)
21:42:46	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20May%202024%2018:42:48%20GMT	https://studiowaterbear.com/privacy-and-cookies-policy	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/privacy-and-cookies-policy.12.delayed	(from https://studiowaterbear.com/)
21:42:48	191552/191552	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2013:30:48%20GMT	https://studiowaterbear.com/privacy-and-cookies-policy/	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/privacy-and-cookies-policy/index.html	(from https://studiowaterbear.com/)
21:42:49	479267/479267	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20May%202024%2013:30:31%20GMT	https://studiowaterbear.com/bundle/publish/0.43.5/vendors.js	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/bundle/publish/0.43.5/vendors.js	(from https://studiowaterbear.com/)
21:42:52	510974/510974	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20May%202024%2013:30:33%20GMT	https://studiowaterbear.com/bundle/publish/0.43.5/bundle.js	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/bundle/publish/0.43.5/bundle.js	(from https://studiowaterbear.com/)
21:42:52	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20May%202024%2018:42:54%20GMT	https://studiowaterbear.com/soul-devourer	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/soul-devourer.15.delayed	(from https://studiowaterbear.com/soul-devourer/)
21:42:52	0/-1	---M--	301	error ('')			https://studiowaterbear.com/soul-devourer	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/soul-devourer.16.delayed	(from https://studiowaterbear.com/soul-devourer/)
21:42:55	144038/144038	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20May%202024%2013:30:22%20GMT	https://studiowaterbear.com/__static/b58f64da570f60863e0a5cac69bc0277/banner.jpg	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__static/b58f64da570f60863e0a5cac69bc0277/banner.jpg	(from https://studiowaterbear.com/soul-devourer/)
21:42:56	209547/209547	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20May%202024%2013:30:28%20GMT	https://studiowaterbear.com/__static/569e4175b278eb043d9ddb4d3b455c09/8.jpg	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__static/569e4175b278eb043d9ddb4d3b455c09/8.jpg	(from https://studiowaterbear.com/soul-devourer/)
21:43:00	1359338/1359338	---M--	200	added ('OK')	image/png	date:Wed,%2008%20May%202024%2013:30:46%20GMT	https://studiowaterbear.com/__static/e0c7d4c343a63f7a9c41baa0ada84c5d/5-11-2023-4_-04-_41-pm.png	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__static/e0c7d4c343a63f7a9c41baa0ada84c5d/5-11-2023-4_-04-_41-pm.png	(from https://studiowaterbear.com/soul-devourer/)
21:43:00	124334/124334	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20May%202024%2013:31:07%20GMT	https://studiowaterbear.com/__static/d679fb811e30c40ae765436b4d6dcabd/1.jpg	C:/My%20Web%20Sites/dffdg/studiowaterbear.com/__static/d679fb811e30c40ae765436b4d6dcabd/1.jpg	(from https://studiowaterbear.com/soul-devourer/)
